15839|(HANK) MODENA CONCRETE PUMPING|39839|Vendor Number 39839|Contact: Henry Modena|Mr.|Henry|Modena|4870 La Honda Road|San Gregorio, CA  94074|4870 La Honda Road|San Gregorio, CA  94074|Phone: 650/726-6220|Fax: 650/726-0868|Email: modenacp@aol.com|N|Y|N|Y|N|N|N|N|N|Y|N|N|N|C|Expiration Date: 7/31/2021|Certification #CMD072115839|32 Meter, 40 Meter, and 42 Meter Boom Pumps amd 3/4 Rock Pump Trailer|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 7/31/2021|GS138||10|N||Updated 9/11/2019
14589|BAHMAN SHEIKH WATER REUSE CONSULTING|74091|Vendor Number 74091|Contact: Bahman Sheikh|Dr.|Bahman|Sheikh|3524 22nd Street|San Francisco, CA  94114|3524 22nd Street|San Francisco, CA  94114|Phone: 415/695-1178|Fax: 415/648-3765|Email: bahman.sheikh@gmail.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 5/31/2022|Certification #CMD052214589|Consulting engineering services in water recycling|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 5/31/2022|AE020||10|N||Updated 9/11/2019
15386|BAINES GROUP INC.|82528|Vendor Number 82528|Contact: Michael E Baines|Mr.|Michael|Baines|1485 Bayshore Blvd.Box 177|San Francisco, CA  94124|1485 Bayshore Blvd.Box 177|San Francsico, CA  94124|Phone: 415/240-4100|Fax: 888/373-8717|Email: michael@bgiconstruction.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 8/31/2020|Certification #CMD082015386|TENANT IMPROVEMENT CONTRACTORS|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 8/31/2020, CSLB License # 904053|PS058||10|N|904053|Updated 9/11/2019
15386|BAINES GROUP INC.|82528|Vendor Number 82528|Contact: Michael E Baines|Mr.|Michael|Baines|1485 Bayshore Blvd.Box 177|San Francisco, CA  94124|1485 Bayshore Blvd.Box 177|San Francsico, CA  94124|Phone: 415/240-4100|Fax: 888/373-8717|Email: michael@bgiconstruction.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 8/31/2020|Certification #CMD082015386|TENANT IMPROVEMENT CONTRACTORS|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 8/31/2020, CSLB License # 904053|CN031||10|N|904053|Updated 9/11/2019
16341|BAINS BRO TRUCKING|400259|Vendor Number 400259|Contact: Surinder Singh|Mr.|Surinder|Singh|1663 Mt. Rainier Avenue|Milipitas, CA  95035|1663 Mt. Rainier Avenue|Milipitas, CA  95035|Phone: 408/648-9101|Fax: 408/263-5596|Email: bainsbro23@yahoo.com|N|Y|N|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 4/30/2020|Certification #CMD042016341||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 4/30/2020|CN005||10|N||Updated 9/11/2019
16657|BAIRD TRUCKING, INC.|400245|Vendor Number 400245|Contact: Vern Baird|Mr.|Vern|Baird|1788 19th Avenue|San Francisco, CA  94122|1788 19th Avenue|San Francisco, CA  94122|Phone: 415/573-7500||Email: bairdtruckingusa@yahoo.com|N|N|Y|Y|N|N|N|N|N|Y|N|N|N|R|Expiration Date: 2/29/2020|Certification #CMD022016657||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 2/29/2020|CN005||10|N||Updated 9/11/2019
16657|BAIRD TRUCKING, INC.|400245|Vendor Number 400245|Contact: Vern Baird|Mr.|Vern|Baird|1788 19th Avenue|San Francisco, CA  94122|1788 19th Avenue|San Francisco, CA  94122|Phone: 415/573-7500||Email: bairdtruckingusa@yahoo.com|N|N|Y|Y|N|N|N|N|N|Y|N|N|N|R|Expiration Date: 2/29/2020|Certification #CMD022016657||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 2/29/2020|EQ130||10|N||Updated 9/11/2019
15703|BANNON CONSTRUCTION, INC.|81713|Vendor Number 81713|Contact: Brendan Bannon|Mr.|Brendan|Bannon|1315 Monterey Blvd.|San Francisco, CA  94127|1315 Monterey Blvd.|San Francisco, CA  94127|Phone: 415-239-2573|Fax: 415-239-2581|Email: helen.bannonconstruction@yahoo.com|N|N|Y|Y|N|N|N|N|N|Y|N|N|N|R|Expiration Date: 9/30/2020|Certification #CMD092015703|General Building Contractor - Expertise: Fabrication/Installation of structrual steel and ornamental steel; welding|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 9/30/2020, CSLB License # 917823|CN031||10|N|917823|Updated 9/11/2019
15703|BANNON CONSTRUCTION, INC.|81713|Vendor Number 81713|Contact: Brendan Bannon|Mr.|Brendan|Bannon|1315 Monterey Blvd.|San Francisco, CA  94127|1315 Monterey Blvd.|San Francisco, CA  94127|Phone: 415-239-2573|Fax: 415-239-2581|Email: helen.bannonconstruction@yahoo.com|N|N|Y|Y|N|N|N|N|N|Y|N|N|N|R|Expiration Date: 9/30/2020|Certification #CMD092015703|General Building Contractor - Expertise: Fabrication/Installation of structrual steel and ornamental steel; welding|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 9/30/2020, CSLB License # 917823|CN003||10|N|917823|Updated 9/11/2019
15703|BANNON CONSTRUCTION, INC.|81713|Vendor Number 81713|Contact: Brendan Bannon|Mr.|Brendan|Bannon|1315 Monterey Blvd.|San Francisco, CA  94127|1315 Monterey Blvd.|San Francisco, CA  94127|Phone: 415-239-2573|Fax: 415-239-2581|Email: helen.bannonconstruction@yahoo.com|N|N|Y|Y|N|N|N|N|N|Y|N|N|N|R|Expiration Date: 9/30/2020|Certification #CMD092015703|General Building Contractor - Expertise: Fabrication/Installation of structrual steel and ornamental steel; welding|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 9/30/2020, CSLB License # 917823|CN013||10|N|917823|Updated 9/11/2019
12959|BARCELON JANG ARCHITECTURE, INC.|99989|Vendor Number 99989|Contact: Darlene Jang|Ms.|Darlene|Jang|1294 Fillmore Street|San Francisco, CA  94115|1294 Fillmore Street|San Francisco, CA  94115|Phone: 415/834-0248|Fax: 415/834-0249|Email: djang@barcelonjang.com|N|N|Y|N|N|Y|N|N|N|N|Y|N|N|R|Expiration Date: 11/30/2020|Certification #CMD112012959|Full profession architectural services-urban planning/design, interior architecture|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 11/30/2020|PS009||10|N||Updated 9/11/2019
12959|BARCELON JANG ARCHITECTURE, INC.|99989|Vendor Number 99989|Contact: Darlene Jang|Ms.|Darlene|Jang|1294 Fillmore Street|San Francisco, CA  94115|1294 Fillmore Street|San Francisco, CA  94115|Phone: 415/834-0248|Fax: 415/834-0249|Email: djang@barcelonjang.com|N|N|Y|N|N|Y|N|N|N|N|Y|N|N|R|Expiration Date: 11/30/2020|Certification #CMD112012959|Full profession architectural services-urban planning/design, interior architecture|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 11/30/2020|AE019||10|N||Updated 9/11/2019
12181|BARRI ELECTRIC CO INC|02916|Vendor Number 02916|Contact: Ernie B. B Ulibarri, PDTE.|Mr.|Ernie B.|Ulibarri, PDTE.|61 Napoleon Street|San Francisco, CA  94124|61 Napoleon Street|San Francisco, CA  94124|Phone: 415/468-6477|Fax: 415/468-7191|Email: ernie@barrielectric.com|N|N|Y|N|Y|N|N|N|N|N|Y|N|N|R|Expiration Date: 6/30/2022|Certification #CMD062212181|electrical contractor|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 6/30/2022, CSLB License # 550342|CN034||10|Y|550342|Updated 9/11/2019
16162|BART-BEK PLUS 4 INC DBA KCA ENGINEERS INC|90955|Vendor Number 90955|Contact: Peter J Bekey|Mr.|Peter|Bekey|318 Brennan Street, 2nd Floor|San Francisco, CA  94107|318 Brennan Street, 2nd Floor|San Francisco, CA  94107|Phone: 415/546-7111|Fax: 415/546-9472|Email: pbekey@kcaengineers.com|N|N|Y|Y|N|N|N|N|N|N|Y|N|N|R|Expiration Date: 8/31/2020|Certification #CMD082016162||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 8/31/2020|AE003||10|N||Updated 9/11/2019
16162|BART-BEK PLUS 4 INC DBA KCA ENGINEERS INC|90955|Vendor Number 90955|Contact: Peter J Bekey|Mr.|Peter|Bekey|318 Brennan Street, 2nd Floor|San Francisco, CA  94107|318 Brennan Street, 2nd Floor|San Francisco, CA  94107|Phone: 415/546-7111|Fax: 415/546-9472|Email: pbekey@kcaengineers.com|N|N|Y|Y|N|N|N|N|N|N|Y|N|N|R|Expiration Date: 8/31/2020|Certification #CMD082016162||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 8/31/2020|AE011||10|N||Updated 9/11/2019
16162|BART-BEK PLUS 4 INC DBA KCA ENGINEERS INC|90955|Vendor Number 90955|Contact: Peter J Bekey|Mr.|Peter|Bekey|318 Brennan Street, 2nd Floor|San Francisco, CA  94107|318 Brennan Street, 2nd Floor|San Francisco, CA  94107|Phone: 415/546-7111|Fax: 415/546-9472|Email: pbekey@kcaengineers.com|N|N|Y|Y|N|N|N|N|N|N|Y|N|N|R|Expiration Date: 8/31/2020|Certification #CMD082016162||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 8/31/2020|AE014||10|N||Updated 9/11/2019
16162|BART-BEK PLUS 4 INC DBA KCA ENGINEERS INC|90955|Vendor Number 90955|Contact: Peter J Bekey|Mr.|Peter|Bekey|318 Brennan Street, 2nd Floor|San Francisco, CA  94107|318 Brennan Street, 2nd Floor|San Francisco, CA  94107|Phone: 415/546-7111|Fax: 415/546-9472|Email: pbekey@kcaengineers.com|N|N|Y|Y|N|N|N|N|N|N|Y|N|N|R|Expiration Date: 8/31/2020|Certification #CMD082016162||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 8/31/2020|AE015||10|N||Updated 9/11/2019
16162|BART-BEK PLUS 4 INC DBA KCA ENGINEERS INC|90955|Vendor Number 90955|Contact: Peter J Bekey|Mr.|Peter|Bekey|318 Brennan Street, 2nd Floor|San Francisco, CA  94107|318 Brennan Street, 2nd Floor|San Francisco, CA  94107|Phone: 415/546-7111|Fax: 415/546-9472|Email: pbekey@kcaengineers.com|N|N|Y|Y|N|N|N|N|N|N|Y|N|N|R|Expiration Date: 8/31/2020|Certification #CMD082016162||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 8/31/2020|PS027||10|N||Updated 9/11/2019
16162|BART-BEK PLUS 4 INC DBA KCA ENGINEERS INC|90955|Vendor Number 90955|Contact: Peter J Bekey|Mr.|Peter|Bekey|318 Brennan Street, 2nd Floor|San Francisco, CA  94107|318 Brennan Street, 2nd Floor|San Francisco, CA  94107|Phone: 415/546-7111|Fax: 415/546-9472|Email: pbekey@kcaengineers.com|N|N|Y|Y|N|N|N|N|N|N|Y|N|N|R|Expiration Date: 8/31/2020|Certification #CMD082016162||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 8/31/2020|PS059||10|N||Updated 9/11/2019
16162|BART-BEK PLUS 4 INC DBA KCA ENGINEERS INC|90955|Vendor Number 90955|Contact: Peter J Bekey|Mr.|Peter|Bekey|318 Brennan Street, 2nd Floor|San Francisco, CA  94107|318 Brennan Street, 2nd Floor|San Francisco, CA  94107|Phone: 415/546-7111|Fax: 415/546-9472|Email: pbekey@kcaengineers.com|N|N|Y|Y|N|N|N|N|N|Y|N|N|N|R|Expiration Date: 8/31/2020|Certification #CMD082016162||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 8/31/2020|GS124||10|N||Updated 9/11/2019
14057|BASE ENERGY INC|59864|Vendor Number 59864|Contact: Ahmad R. Ganji|Mr.|Ahmad|Ganji|5 Third Street, Suite 630|San Francisco, CA  94103|5 Third Street, Suite 630|San Francisco, CA  94103|Phone: 415/543-1600|Fax: 415/543-1601|Email: base@baseco.com|N|N|Y|N|Y|N|N|N|N|N|Y|N|N|R|Expiration Date: 3/31/2020|Certification #CMD032014057|Provide energy efficiency assessment to government and private organizations|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 3/31/2020|AE012||10|N||Updated 9/11/2019
14057|BASE ENERGY INC|59864|Vendor Number 59864|Contact: Ahmad R. Ganji|Mr.|Ahmad|Ganji|5 Third Street, Suite 630|San Francisco, CA  94103|5 Third Street, Suite 630|San Francisco, CA  94103|Phone: 415/543-1600|Fax: 415/543-1601|Email: base@baseco.com|N|N|Y|N|Y|N|N|N|N|N|Y|N|N|R|Expiration Date: 3/31/2020|Certification #CMD032014057|Provide energy efficiency assessment to government and private organizations|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 3/31/2020|AE006||10|N||Updated 9/11/2019
14057|BASE ENERGY INC|59864|Vendor Number 59864|Contact: Ahmad R. Ganji|Mr.|Ahmad|Ganji|5 Third Street, Suite 630|San Francisco, CA  94103|5 Third Street, Suite 630|San Francisco, CA  94103|Phone: 415/543-1600|Fax: 415/543-1601|Email: base@baseco.com|N|N|Y|N|Y|N|N|N|N|N|Y|N|N|R|Expiration Date: 3/31/2020|Certification #CMD032014057|Provide energy efficiency assessment to government and private organizations|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 3/31/2020|PS028||10|N||Updated 9/11/2019
17183|BASE LANDSCAPE ARCHITECTURE|400416|Vendor Number 400416|Contact: Patricia Algara|Ms.|Patricia|Algara|2427 17th Street|San Francisco, CA  94110|2427 17th Street|San Francisco, CA  94110|Phone: 415-509-3728||Email: patricia@baselandscape.com|N|N|Y|N|N|Y|N|N|N|Y|N|N|N|R|Expiration Date: 5/31/2022|Certification #CMD052217183||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 5/31/2022|AE002||10|N||Updated 9/11/2019
15246|BAUER TRANSPORTATION SYSTEMS INC|75523|Vendor Number 75523|Contact: Anita M Martini|Ms.|Anita|Martini|1612D Marina Court|San Mateo, CA  94403|P.O. Box 25501|San Mateo, CA  94402|Phone: 415-725-0792|Fax: 650-372-9420|Email: bauertransportationsystemsinc@yahoo.com|N|Y|N|N|N|Y|N|N|N|N|Y|N|N|R|Expiration Date: 3/31/2021|Certification #CMD032115246|TRUCKING: 1996 PETERBILT TRACTOR, 2001 WESCO TRAILER, ONE KENWORTH 1991 TRUCK, ONE FREIGHT 1999 TRUCK, ONE TRANSFER TRUCK, 1996 PETERBILT TRACTOR, 2001 WESCO TRAILER, ONE 1996 PETERBILT TRACTOR|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 3/31/2021|CN005||10|N||Updated 9/11/2019
15332|BAUMAN LANDSCAPE & CONSTRUCTION INC|82998|Vendor Number 82998|Contact: Michael P Bauman|Mr.|Michael|Bauman|1255 Battery Street, Suite 400|San Francisco, CA  94111|1255 Battery Street, Suite 400|San Francisco, CA  94111|Phone: 415/447-4800|Fax: 415/447-4258|Email: angela@baumanland.com|N|N|Y|Y|N|N|N|N|N|N|Y|N|N|R|Expiration Date: 8/31/2020|Certification #CMD082015332|Site Work From Underground, Demo Concrete, Grading, Paving, Landscape, Irrigation|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 8/31/2020, CSLB License # 372478|CN032||10|N|372478|Updated 9/11/2019
11539|BAY ARCHITECTS ASSOC INC|02986|Vendor Number 02986|Contact: Thomas F. Lee|Mr.|Thomas|Lee|1550 Pacific Ave.|San Francisco, CA  94109|1550 Pacific Ave.|San Francisco, CA  94109|Phone: 415.474.3111|Fax: 415.474.3225|Email: tom@bayarchitects.net|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 3/31/2021|Certification #CMD032111539|Building facilities planning and design, rehab design, construction management support, facilities programming, construction budget planning, value engineering|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 3/31/2021|PS058||10|N||Updated 9/11/2019
11539|BAY ARCHITECTS ASSOC INC|02986|Vendor Number 02986|Contact: Thomas F. Lee|Mr.|Thomas|Lee|1550 Pacific Ave.|San Francisco, CA  94109|1550 Pacific Ave.|San Francisco, CA  94109|Phone: 415.474.3111|Fax: 415.474.3225|Email: tom@bayarchitects.net|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 3/31/2021|Certification #CMD032111539|Building facilities planning and design, rehab design, construction management support, facilities programming, construction budget planning, value engineering|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 3/31/2021|AE019||10|N||Updated 9/11/2019
11539|BAY ARCHITECTS ASSOC INC|02986|Vendor Number 02986|Contact: Thomas F. Lee|Mr.|Thomas|Lee|1550 Pacific Ave.|San Francisco, CA  94109|1550 Pacific Ave.|San Francisco, CA  94109|Phone: 415.474.3111|Fax: 415.474.3225|Email: tom@bayarchitects.net|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 3/31/2021|Certification #CMD032111539|Building facilities planning and design, rehab design, construction management support, facilities programming, construction budget planning, value engineering|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 3/31/2021|PS009||10|N||Updated 9/11/2019
16124|BAY AREA ARBORIST COOPERATIVE INC|401509|Vendor Number 401509|Contact: Theodore Kipping|Mr.|Theodore|Kipping|334 Claremont Blvd, Suite 2|San Francisco, CA  94127|334 Claremont Blvd, Suite 2|San Francisco, CA  94127|Phone: 415/7595420|Fax: 415/759-5417|Email: am.baac@yahoo.com|N|N|Y|Y|N|N|N|N|N|Y|N|N|N|C|Expiration Date: 1/31/2020|Certification #CMD012016124||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 1/31/2020, CSLB License # 707545|CN047||10|N|707545|Updated 9/11/2019
15222|BAY AREA COATING CONSULTANTS INC|67546|Vendor Number 67546|Contact: Ed Darrimon|Mr.|Ed|Darrimon|5401 Powell Road|Denair, CA  95316|P.O. Box 867|Denair, CA  95316|Phone: 888-384-6839|Fax: 209-669-3633|Email: baccs@msn.com|N|Y|N|Y|N|N|N|N|N|N|Y|N|N|R|Expiration Date: 3/31/2022|Certification #CMD032215222|Paint Coating Consultant|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 3/31/2022|AE010||10|N||Updated 9/11/2019
15222|BAY AREA COATING CONSULTANTS INC|67546|Vendor Number 67546|Contact: Ed Darrimon|Mr.|Ed|Darrimon|5401 Powell Road|Denair, CA  95316|P.O. Box 867|Denair, CA  95316|Phone: 888-384-6839|Fax: 209-669-3633|Email: baccs@msn.com|N|Y|N|Y|N|N|N|N|N|N|Y|N|N|R|Expiration Date: 3/31/2022|Certification #CMD032215222|Paint Coating Consultant|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 3/31/2022|PS047||10|N||Updated 9/11/2019
15222|BAY AREA COATING CONSULTANTS INC|67546|Vendor Number 67546|Contact: Ed Darrimon|Mr.|Ed|Darrimon|5401 Powell Road|Denair, CA  95316|P.O. Box 867|Denair, CA  95316|Phone: 888-384-6839|Fax: 209-669-3633|Email: baccs@msn.com|N|Y|N|Y|N|N|N|N|N|N|Y|N|N|R|Expiration Date: 3/31/2022|Certification #CMD032215222|Paint Coating Consultant|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 3/31/2022|PS058||10|N||Updated 9/11/2019
15130|BAY AREA CONCRETES INC|74056|Vendor Number 74056|Contact: Jonathan Vasquez|Mr.|Jonathan|Vasquez|5637 La Ribera Street, Suite B|Livermore, CA  94550|5637 La Ribera Street, Suite B|Livermore, CA  94550|Phone: 925/245-8900|Fax: 925/245-8901|Email: pz@bayareaconcretes.com|N|Y|N|N|Y|N|N|N|N|N|Y|N|N|R|Expiration Date: 2/28/2021|Certification #CMD022115130|Decorative architectural concrete finishes. Site work concrete -- all types of concrete construction, stained, somped and diamond polished concrete.|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 2/28/2021, CSLB License # 242104|CN046||10|N|242104|Updated 9/11/2019
16204|BAY AREA CONSULTING ENGINEERS INC|88458|Vendor Number 88458|Contact: Angelito Magbitang|Mr.|Angelito|Magbitang|311 California Street, Suite 720|San Francisco, CA  94104|311 California Street, Suite 720|San Francisco, CA  94104|Phone: 415/788-8388|Fax: 415/373-9833|Email: lito@bacengineers.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 9/30/2019|Certification #CMD091916204||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 9/30/2019|AE006||10|N||Updated 9/11/2019
16204|BAY AREA CONSULTING ENGINEERS INC|88458|Vendor Number 88458|Contact: Angelito Magbitang|Mr.|Angelito|Magbitang|311 California Street, Suite 720|San Francisco, CA  94104|311 California Street, Suite 720|San Francisco, CA  94104|Phone: 415/788-8388|Fax: 415/373-9833|Email: lito@bacengineers.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 9/30/2019|Certification #CMD091916204||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 9/30/2019|AE008||10|N||Updated 9/11/2019
1000193|Bay Area Environmental Group|||Contact: Tiffany Angus|Ms.|Tiffany|Angus|1651 Hawes St.|San Francisco, CA  94124|1651 Hawes St.|San Francisco, CA  94124|Phone: 415-830-4070||Email: tiffany@bayareaenviro.com|N|N|Y|N|N|Y|N|N|N|Y|N|N|N|R|Expiration Date: 4/30/2022|Certification #CMD04221000193||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 4/30/2022|PS010||10|N||Updated 9/11/2019
16155|BAY AREA FIRESTOP INC DBA BAF SPECIALTY INC|82740|Vendor Number 82740|Contact: Spencer Crouse|Mr.|Spencer|Crouse|2060 Newcomb Ave.|San Francisco, CA  94124|2060 Newcomb Ave.|San Francisco, CA  94124|Phone: 415/874-9840|Fax: 415/874-9985|Email: scrouse@bafspecialty.com|N|N|Y|Y|N|N|N|N|N|Y|N|N|N|R|Expiration Date: 9/30/2020|Certification #CMD092016155||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 9/30/2020, CSLB License # 765120|CN007||10|N|765120|Updated 9/11/2019
16155|BAY AREA FIRESTOP INC DBA BAF SPECIALTY INC|82740|Vendor Number 82740|Contact: Spencer Crouse|Mr.|Spencer|Crouse|2060 Newcomb Ave.|San Francisco, CA  94124|2060 Newcomb Ave.|San Francisco, CA  94124|Phone: 415/874-9840|Fax: 415/874-9985|Email: scrouse@bafspecialty.com|N|N|Y|Y|N|N|N|N|N|Y|N|N|N|R|Expiration Date: 9/30/2020|Certification #CMD092016155||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 9/30/2020, CSLB License # 765120|CN009||10|N|765120|Updated 9/11/2019
14942|BAY AREA LIGHTWORKS INC|71580|Vendor Number 71580|Contact: Jim Z. Lau|Mr.|Jim|Lau|1460 Yosemite Avenue|San Francisco, CA  94124|1460 Yosemite Avenue|San Francisco, CA  94124|Phone: 415/822-2336|Fax: 415/822-8086|Email: csaelee@bayarealightworks.com|N|N|Y|N|Y|N|N|N|N|N|Y|N|N|R|Expiration Date: 8/31/2021|Certification #CMD082114942|Electrical Contracting and General Engineering Contracting (A)|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 8/31/2021, CSLB License # 839612|CN034||10|N|839612|Updated 9/11/2019
14942|BAY AREA LIGHTWORKS INC|71580|Vendor Number 71580|Contact: Jim Z. Lau|Mr.|Jim|Lau|1460 Yosemite Avenue|San Francisco, CA  94124|1460 Yosemite Avenue|San Francisco, CA  94124|Phone: 415/822-2336|Fax: 415/822-8086|Email: csaelee@bayarealightworks.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 8/31/2021|Certification #CMD082114942|Electrical Contracting and General Engineering Contracting (A)|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 8/31/2021, CSLB License # 839612|CN032||10|N|839612|Updated 9/11/2019
17063|BAY BRIDGE TOWING|400575|Vendor Number 400575|Contact: Elmer Lopez|Mr.|Elmer|Lopez|1177 Revere Avenue|San Francisco, CA  94124|45 Capp Street|San Francisco, CA  94103|Phone: 415-822-8400|Fax: 415-822-8444|Email: autoassistancetowing@yahoo.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 3/31/2022|Certification #CMD032217063||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 3/31/2022|GS006||10|N||Updated 9/11/2019
1000288|Bay Engineering LLC|||Contact: Danny Cornislen|Mr.|Danny|Cornislen|5616 Geary Street suite 204|San Francisco, CA  94121|5616 Geary Street suite 204|San Francisco, CA  94121|Phone: 415-343-0220||Email: info@bayengineering.us|N|N|Y|Y|N|N|N|N|N|Y|N|N|N|C|Expiration Date: 1/31/2022|Certification #CMD01221000288||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 1/31/2022, CSLB License # 1018027|CN032||10|N|1018027|Updated 9/11/2019
14855|BAY LINE CUTTING & CORING INC|69344|Vendor Number 69344|Contact: Juan C. Arreguin|Mr.|Juan|Arreguin|501 Cesar Chavez Street, Suite 101B|San Francisco, CA  94124|501 Cesar Chavez Street, Suite 101B|San Francisco, CA  94124|Phone: 415/508-1800|Fax: 415/508-1811|Email: juan@baylinecutting.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 2/28/2022|Certification #CMD022214855|Concrete Cutting and Coring|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 2/28/2022, CSLB License # 809660|CN032||10|N|809660|Updated 9/11/2019
14209|BAY MOBILE WASH |03074|Vendor Number 03074|Contact: Najeeb Chaudhry|Mr.|Najeeb|Chaudhry|1118 Capitol Avenue|San Francisco, CA  94112|1118 Capitol Avenue|San Francisco, CA  94112|Phone: 415/585-0839|Fax: 415/585-0571|Email: americanvantage@hotmail.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 4/30/2021|Certification #CMD042114209|Professional High Pressure & Steam Cleaning: commercial buildings, shopping centers, sidewalks & storefronts, parking lots, mobile homes, car & truck fleets, heavy equipment, industrial plants, liquid sandblasting.|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 4/30/2021|GS140||10|Y||Updated 9/11/2019
14209|BAY MOBILE WASH |03074|Vendor Number 03074|Contact: Najeeb Chaudhry|Mr.|Najeeb|Chaudhry|1118 Capitol Avenue|San Francisco, CA  94112|1118 Capitol Avenue|San Francisco, CA  94112|Phone: 415/585-0839|Fax: 415/585-0571|Email: americanvantage@hotmail.com|N|N|Y|N|Y|N|N|N|N|Y|N|N|N|R|Expiration Date: 4/30/2021|Certification #CMD042114209|Professional High Pressure & Steam Cleaning: commercial buildings, shopping centers, sidewalks & storefronts, parking lots, mobile homes, car & truck fleets, heavy equipment, industrial plants, liquid sandblasting.|<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 4/30/2021|GS081||10|Y||Updated 9/11/2019
1000296|Bay Print Solutions|||Contact: Doug Dimick|Mr.|Doug|Dimick|380 10th Street Unit C|San Francisco, CA  94103|380 10th Street Unit C|San Francisco, CA  94103|Phone: 415.619.3960||Email: soren@bayprint.com|N|N|Y|Y|N|N|N|N|N|N|Y|N|N|C|Expiration Date: 2/29/2020|Certification #CMD02231000296||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 2/29/2020|EQ025||10|N||Updated 9/11/2019
1000296|Bay Print Solutions|||Contact: Doug Dimick|Mr.|Doug|Dimick|380 10th Street Unit C|San Francisco, CA  94103|380 10th Street Unit C|San Francisco, CA  94103|Phone: 415.619.3960||Email: soren@bayprint.com|N|N|Y|Y|N|N|N|N|N|N|Y|N|N|C|Expiration Date: 2/29/2020|Certification #CMD02231000296||<b>STATUS: </b>   (10% BID DISCOUNT), Expiration Date: 2/29/2020|EQ046||10|N||Updated 9/11/2019
